"fsym_id","ShortInterestDateCurrent","ShortInterestDateOneMonthAgo","ShortInterestDateTwoMonthsAgo","ShortInterestDateThreeMonthsAgo","ShortInterestDateFourMonthsAgo","ShortInterestDateFiveMonthsAgo","ShortInterestDateSixMonthsAgo","ShortInterestDateSevenMonthsAgo","ShortInterestDateEightMonthsAgo","ShortInterestDateNineMonthsAgo","ShortInterestDateTenMonthsAgo","ShortInterestDateElevenMonthsAgo","ShortInterestShsCurrent","ShortInterestShsOneMonthAgo","ShortInterestShsTwoMonthsAgo","ShortInterestShsThreeMonthsAgo","ShortInterestShsFourMonthsAgo","ShortInterestShsFiveMonthsAgo","ShortInterestShsSixMonthsAgo","ShortInterestShsSevenMonthsAgo","ShortInterestShsEightMonthsAgo","ShortInterestShsNineMonthsAgo","ShortInterestShsTenMonthsAgo","ShortInterestShsElevenMonthsAgo","ShortInterestRatioCurrent","ShortInterestRatioOneMonthAgo","ShortInterestRatioTwoMonthsAgo","ShortInterestRatioThreeMonthsAgo","ShortInterestRatioFourMonthsAgo","ShortInterestRatioFiveMonthsAgo","ShortInterestRatioSixMonthsAgo","ShortInterestRatioSevenMonthsAgo","ShortInterestRatioEightMonthsAgo","ShortInterestRatioNineMonthsAgo","ShortInterestRatioTenMonthsAgo","ShortInterestRatioElevenMonthsAgo","ShortInterestAsPercentOfFloat"
"CK1TYP-R","08/31/2018","08/15/2018","07/31/2018","07/13/2018","06/29/2018","06/15/2018","05/31/2018","05/15/2018","04/30/2018","04/13/2018","03/29/2018","03/15/2018",100,0,0,0,0,2200,100,100,0,0,0,0,.287356," "," "," ",0,3.20793,.110436,.136372," "," "," "," "," "
"HVT4DD-R","08/31/2018","08/15/2018","07/31/2018","07/13/2018","06/29/2018","06/15/2018","05/31/2018","05/15/2018","04/30/2018","04/13/2018","03/29/2018","03/15/2018",38305,76225,52553,15520,30153,5644,11421,2669,42704,30144,57430,48822,.593398,.739876,.503015,.109458,.230218,.0464971,.115529,.0293959,.367144,.322134,.521858,.518517,.078831172337764
"J2MJKS-R","08/31/2018","08/15/2018","07/31/2018","07/13/2018","06/29/2018","06/15/2018","05/31/2018","05/15/2018","04/30/2018","04/13/2018","03/29/2018","03/15/2018",4873,21907,18867,11456,6254,23084,19371,10018,37109,24058,4759,39886,.0842628,.298729,.151011,.0771001,.0655528,.247147,.234957,.127571,.392012,.225437,.0550294,.43763,.0108636717101406
"N91PT6-R","08/31/2018","08/15/2018","07/31/2018","07/13/2018","06/29/2018","06/15/2018","05/31/2018","05/15/2018","04/30/2018","04/13/2018","03/29/2018","03/15/2018",22261,7348,10119,6782,17132,2662,8421,5161,461,6245,16931,1759,.387917,.100742,.141432,.0497703,.213741,.0313948,.117615,.0833522,.00628999,.112397,.205162,.0212892,.0630288622980322
"B5PCCJ-R","08/31/2018","08/15/2018","07/31/2018","07/13/2018","06/29/2018","06/15/2018","05/31/2018","05/15/2018","04/30/2018","04/13/2018","03/29/2018","03/15/2018",105114,190589,131420,131178,160422,179831,202896,310265,62433,53684,16325,42329,.559709,.997864,.630188,.478823,.57323,.944213,.860589,1.2034,.297099,.218966,.0667146,.109859,.108134639508098
"P3GZXN-R","08/31/2018","08/15/2018","07/31/2018","07/13/2018","06/29/2018","06/15/2018","05/31/2018","05/15/2018","04/30/2018","04/13/2018","03/29/2018","03/15/2018",394675,447931,425607,352327,240794,0,0,0,0,0,0,0,1.62543,4.19038,2.36582,1.14575,.140761," "," "," "," "," "," "," "," "
"XKPH9J-R","08/31/2018","08/15/2018","07/31/2018","07/13/2018","06/29/2018","06/15/2018","05/31/2018","05/15/2018","04/30/2018","04/13/2018","03/29/2018","03/15/2018",1211614,1232408,1800256,2015521,1908052,2413592,2089217,2158571,2154473,2134315,1401667,1136308,.79919,1.94007,2.03165,2.41163,1.73395,2.58097,1.82607,2.47869,2.57562,1.82288,1.31059,1.20129,1.58115999426425
"FVBWJ8-R","08/31/2018","08/15/2018","07/31/2018","07/13/2018","06/29/2018","06/15/2018","05/31/2018","05/15/2018","04/30/2018","04/13/2018","03/29/2018","03/15/2018",11114,0,1500,800,500,100,800,200,10000,400,4285,3665,.217978,0,.0348994,.017273,.00894093,.000932771,.00703162,.00317279,.193249,.00686976,.0573284,.0469341,0
"J70Q9L-R","08/31/2018","08/15/2018","07/31/2018","07/13/2018","06/29/2018","06/15/2018","05/31/2018","05/15/2018","04/30/2018","04/13/2018","03/29/2018","03/15/2018",757183,646291,0,0,0,0,0,0,0,0,0,0,2.99387," "," "," "," "," "," "," "," "," "," "," "," "
"L43CTP-R","08/31/2018","08/15/2018","07/31/2018","07/13/2018","06/29/2018","06/15/2018","05/31/2018","05/15/2018","04/30/2018","04/13/2018","03/29/2018","03/15/2018",95289,76348,78385,73697,78971,62783,60060,66491,77802,69603,78021,90042,2.45419,1.71019,1.60182,2.14298,1.38568,1.33004,1.65541,1.49462,1.32761,2.16609,1.7811,2.75038,.550160130668011
"SFFS6X-R","08/31/2018","08/15/2018","07/31/2018","07/13/2018","06/29/2018","06/15/2018","05/31/2018","05/15/2018","04/30/2018","04/13/2018","03/29/2018","03/15/2018",1700119,1679403,1561034,1559256,1688971,1786456,1685668,1596989,1695455,1508674,1432457,1402290,7.41986,4.33417,5.77145,7.56634,4.22357,3.62207,5.53897,3.55272,9.26164,4.55957,4.20493,4.05136,4.58559828051022
"P5F9DQ-R","08/31/2018","08/15/2018","07/31/2018","07/13/2018","06/29/2018","06/15/2018","05/31/2018","05/15/2018","04/30/2018","04/13/2018","03/29/2018","03/15/2018",18257843,18477226,15975390,16819819,16393925,17653916,16846759,18449547,16931061,20283932,19984332,21214782,6.609,3.87546,3.33078,4.40317,4.60632,4.01333,3.74543,4.11271,2.8446,3.87299,3.95076,2.51237,7.77961490038219
"N91LM3-R","08/31/2018","08/15/2018","07/31/2018","07/13/2018","06/29/2018","06/15/2018","05/31/2018","05/15/2018","04/30/2018","04/13/2018","03/29/2018","03/15/2018",2998011,5534173,3788947,4565146,4684337,4460169,4585940,4465665,3295194,4959498,3891446,4611523,3.65698,4.86672,4.6146,5.28578,6.5176,3.54795,4.14391,5.35897,5.28928,7.81459,4.82523,6.34537,1.36172319251406
"FR4RLC-R","08/31/2018","08/15/2018","07/31/2018","07/13/2018","06/29/2018","06/15/2018","05/31/2018","05/15/2018","04/30/2018","04/13/2018","03/29/2018","03/15/2018",1858,10500,0,4610,0,800,100,20389,700,92600,297113,196178,.0190407,.102639,0,.0522103,0,.0113154,.00119432,.216633,.00806858,.494883,1.13465,.855095,0
"RH0Q6G-R","08/31/2018","08/15/2018","07/31/2018","07/13/2018","06/29/2018","06/15/2018","05/31/2018","05/15/2018","04/30/2018","04/13/2018","03/29/2018","03/15/2018",40846,33100,155700,91920,5846,5177,7000,25200,0,773,26026,4500,.41566,.392861,1.62427,1.11095,.0798686,.07117,.0522886,.0559319,0,.00176009,.149861,.0376988,0
"PSLKQB-R","08/31/2018","08/15/2018","07/31/2018","07/13/2018","06/29/2018","06/15/2018","05/31/2018","05/15/2018","04/30/2018","04/13/2018","03/29/2018","03/15/2018",4165900,4274939,4121961,4285051,4354489,3222341,2887115,2192778,2810715,3414370,3406906,3467670,14.1397,14.0071,7.63145,8.69521,4.82165,4.54036,4.42875,5.52705,3.93059,6.92727,4.78481,3.41498,8.31437390373516
"XGQKHS-R","08/31/2018","08/15/2018","07/31/2018","07/13/2018","06/29/2018","06/15/2018","05/31/2018","05/15/2018","04/30/2018","04/13/2018","03/29/2018","03/15/2018",25769,8469,5997,27047,25019,21607,24603,22326,61848,2790,2210,11100,1.1331,1.64255,.588865,1.38504,1.21369,1.13572,2.38586,.912942,.609953,.0466438,.0253586," "," "
"TDC2ZB-R","08/31/2018","08/15/2018","07/31/2018","07/13/2018","06/29/2018","06/15/2018","05/31/2018","05/15/2018","04/30/2018","04/13/2018","03/29/2018","03/15/2018",8564,9569,31715,2241,400,0,0,0,0,0,0,0,1.41554,.622414,.449056,.051605,.0018757," "," "," "," "," "," "," "," "
"KXJ490-R","08/31/2018","08/15/2018","07/31/2018","07/13/2018","06/29/2018","06/15/2018","05/31/2018","05/15/2018","04/30/2018","04/13/2018","03/29/2018","03/15/2018",1590090,1575163,1513811,1784092,1595307,1247070,1356903,1781831,2180159,1989075,1726953,1596722,7.06424,4.76466,5.82665,9.28552,3.81709,3.54474,3.94661,2.64002,8.13629,9.22795,5.53695,3.3622,5.24506543970309
"NK190K-R","08/31/2018","08/15/2018","07/31/2018","07/13/2018","06/29/2018","06/15/2018","05/31/2018","05/15/2018","04/30/2018","04/13/2018","03/29/2018","03/15/2018",331332,369138,355416,342763,331762,318111,307597,357951,330928,402741,332732,301707,7.93838,10.083,9.72171,13.2978,7.87734,7.41673,8.16167,7.8655,6.71512,8.92343,5.07252,4.40011,2.55836453443884
"R2H9DY-R","08/31/2018","08/15/2018","07/31/2018","07/13/2018","06/29/2018","06/15/2018","05/31/2018","05/15/2018","04/30/2018","04/13/2018","03/29/2018","03/15/2018",1875494,1908248,1939085,2070769,2145201,2150113,1655061,1615173,1782613,1635590,1639033,1160900,15.0102,16.2446,13.2368,17.769,12.7827,4.74947,9.96107,10.0832,10.8383,11.5112,5.74175,3.09545,5.42433237476643
"S7P87W-R","08/31/2018","08/15/2018","07/31/2018","07/13/2018","06/29/2018","06/15/2018","05/31/2018","05/15/2018","04/30/2018","04/13/2018","03/29/2018","03/15/2018",3338465,3014267,3540386,4204142,2752606,3306008,2818582,3269529,2145256,2401686,2680109,3139466,2.54518,1.66543,2.85552,3.4576,1.8442,2.96473,2.6707,2.11128,1.64052,2.41743,1.65708,1.80845,2.2665104508511
"R8BV8Y-R","08/31/2018","08/15/2018","07/31/2018","07/13/2018","06/29/2018","06/15/2018","05/31/2018","05/15/2018","04/30/2018","04/13/2018","03/29/2018","03/15/2018",2794,2287,1871,1291,1291,2495,3080,2945,519,2496,5136,5148,11.2209,47.6458,5.14011,1.02623,1.39417,3.25293,4.61769,1.89146,1.04217,3.82236,79.0154,13.1327," "
"H4KSNG-R","08/31/2018","08/15/2018","07/31/2018","07/13/2018","06/29/2018","06/15/2018","05/31/2018","05/15/2018","04/30/2018","04/13/2018","03/29/2018","03/15/2018",989,55,55,73,7780,8837,10905,11626,5424,352,727,0,.34388,.0613839,.00799302,.0200494,5.77151,24.9633,17.8186,4.99184,3.85501,.0929987,.17455," "," "
"NWSS1J-R","08/31/2018","08/15/2018","07/31/2018","07/13/2018","06/29/2018","06/15/2018","05/31/2018","05/15/2018","04/30/2018","04/13/2018","03/29/2018","03/15/2018",198,1107,761,865,14980,5421,3606,1165,551,210,706,1347,1.22222,1.10479,.415393,.408983,7.76568,5.48129,3.4807,1.33754,.458784,.349418,.0899822,1.71592," "
